Artist,Song
Slow Pulp,Idaho
NewDad,I Don't Recognise You
Fruit Bats,Today
The Coral,Pass It On
Stiff Little Fingers,Alternative Ulster
Primal Scream,Country Girl
Balthazar,Losers
my bloody valentine,Sometimes
Ethel Cain,Crush
Pavement,Gold Soundz
Bakar,"Having a Good Time, Sometimes"
Sharon Van Etten,Let Go
Inhaler,Who's Your Money On? (Plastic House)
Kaiser Chiefs,I Predict A Riot
Soccer Mommy,bloodstream
Broken Bells,After the Disco
Christine and the Queens,Paradis Perdus
dad sports,out 4 a breather
Hot Hot Heat,Bandages
Dick Dale and his Del-Tones,Misirlou
Lime Cordiale,Reality Check Please
Status Quo,Pictures of Matchstick Men - Mono Version
The Stooges,Search and Destroy - Iggy Pop Mix
Baby Queen,Dover Beach
Tom Robinson Band,2-4-6-8 Motorway
Maximo Park,Our Velocity
MICHELLE,SUNRISE
cehryl,angels (emily)
Grimes,REALiTi (Demo)
Sam Truth,All My Dogs
fanclubwallet,Car Crash in G Major
King Gizzard & The Lizard Wizard,O.N.E.
Sjowgren,I Don't Know
Metronomy,Lately
First Aid Kit,Come Give Me Love
Marilina Bertoldi,La Casa de A
beabadoobee,Bobby
Harriette,at least i'm pretty
POORSTACY,Nothing Left
Sorry,Starstruck - Single Version
Sylvan Esso,Rooftop Dancing
Fruit Bats,Shane
Childish Gambino,35.31
Generation X,Dancing With Myself
Elley Duhé,Kids Of The Night
p4rkr,bad idea
The The,Uncertain Smile
Rostam,Unfold You
easy life,have a great day
Pale Waves,Change
Bratty,tdbn
The Knocks,R U HIGH (feat. Mallrat)
Supergrass,"Tales of Endurance, Pt. 4, 5 & 6"
Keaton Henson,You Don't Know How Lucky You Are
This Is The Kit,Bashed Out
Alvvays,In Undertow
Shocking Blue,Send Me A Postcard
The Sundays,Here's Where The Story Ends
Morrissey,Back on the Chain Gang
Arcade Fire,Electric Blue
Parquet Courts,Total Football
Oscar Anton,ophelie
Waxahatchee,Lilacs
The Rapture,How Deep Is Your Love?
Benji Lewis,Drift
Jon Hopkins,Wintergreen
Public Image Ltd.,Rise
Girlhood,The Love I Need
Suede,Trash
Julia Jacklin,"to Perth, before the border closes"
Lawrence Rothman,Kate's Not Here - Day Wave & Lawrence Rothman Remix
XTC,Dear God - Remastered 2001
Perfume Genius,Jason
Viagra Boys,Sports
Jessie Ware,Adore You
Roxy Music,Virginia Plain
Angel Olsen,All Mirrors
Rhye,Black Rain
Friendly Fires,Paris (Aeroplane Remix)
The Avalanches,Interstellar Love (feat. Leon Bridges)
spill tab,Calvaire
Townes Van Zandt,Waitin' Around To Die
CLUBZ,Nagano
Slowdive,Star Roving
Arca,KLK
Rain Radio,Talk About
Tora-i,Call Your Name
Current Joys,Breaking the Waves
SOAK,Knock Me Off My Feet
Ryan Woods,King of the Basement
Phoebe Green,IDK
IDLES,Danny Nedelko
Daniel Deluxe,Darkness
Rostam,4Runner
Cavetown,Let Me Feel Low (feat. Miloe)
Lucy Dacus,Thumbs
Myd,Let You Speak
Florence + The Machine,"Cornflake Girl - Recorded At RAK Studios, London"
Baird,Beluga v2 (feat. Berhana)
Yves Tumor,Romanticist
Mk.gee,cz
Led Zeppelin,Communication Breakdown - Remaster
Virtual Mage,Aether
strongboi,honey thighs
The Who,I Can't Explain - Mono Version
Warpaint,Love Is to Die
Vagabon,Water Me Down
Molly Burch,Emotion feat. Wild Nothing
King Gizzard & The Lizard Wizard,Honey
Jade Bird,Open up the Heavens
Faye Webster,Better Distractions
LUMP,Animal - Edit
Jean Dawson,Clear Bones
Mustafa,Stay Alive
Daryl Hall & John Oates,I Can't Go for That (No Can Do) - Nicolaas Remix
Whitney,Strange Overtones
The Trashmen,Surfin' Bird
Jack Larsen,Saving Grace
Black Pumas,Fast Car
We Are Scientists,"Nobody Move, Nobody Get Hurt"
HUNNY,Xbox Luvr
Orla Gartland,Zombie!
The Shins,The Past And Pending
PJ Harvey,Good Fortune
Loverground,Be Patient
Wallice,Off the Rails
Electroforez,Русская принцесса
Julien Baker,Heatwave
The Slits,I Heard It Through The Grapevine
PJ Harvey,This Is Love
Dry Cleaning,Strong Feelings
Big Thief,Off You
beabadoobee,Worth It
Foals,On The Luna
Kasabian,L.S.F.
Dodgy,Good Enough
Moodoïd,Only One Man (with Melody's Echo Chamber)
Monolink,Harlem River
Ian Dury,Sex & Drugs & Rock & Roll
Nick Leng,Lonely Shade of Blue
Sharon Van Etten,Comeback Kid
The National,Never Tear Us Apart
Noah And The Whale,L.I.F.E.G.O.E.S.O.N.
Kaiser Chiefs,Everyday I Love You Less And Less
Hether,Oidar
Baby Queen,Raw Thoughts
Courtney Barnett,Avant Gardener
Augustine,Prom
The Only Ones,Another Girl Another Planet
Os Mutantes,A Minha Menina
Catching Flies,GLY
The Primitives,Crash
MGMT,Electric Feel - Justice Remix
Dehd,Loner
Echo & the Bunnymen,The Cutter
Catatonia,Road Rage
Philip Glass,The Poet Acts
lavender,home:so long
The Raconteurs,Salute Your Solution
Erlend Øye,Lockdown Blues
Twin Shadow,Alemania
Wallice,Punching Bag
Sam Gellaitry,Assumptions
Everything Everything,Distant Past
Zella Day,Purple Haze
Beach Bunny,Ms. California
Scruffpuppie,Ego
Beck,Devils Haircut
Metronomy,The Bay - Mr. Mitch Remix
The Naked And Famous,Blinding Lights
Lomelda,Hannah Sun
Squeeze,Pulling Mussels (From The Shell)
The Shins,The Great Divide - Flipped
Warpaint,Ashes to Ashes
Shelly,Natural
fanclubwallet,What's Up
Richard Hell,Blank Generation
Dylan Cartlidge,Anything Could Happen - Superorganism Remix
The Bluetones,Slight Return
Yelle,Je veux te voir
Suicide,Dream Baby Dream
Flyte,Everyone's A Winner
The Cure,Play For Today
Darwin Deez,Radar Detector
Madi Diaz,"New Person, Old Place"
Clubhouse,Heartbroke
Tommy Genesis,Tommy
Inner Wave,Mushroom
Grandaddy,A.M. 180
Mansun,Wide Open Space
Flock of Dimes,Two
Sleater-Kinney,Worry With You
Mystery Jets,Two Doors Down
Dylan Cartlidge,Anything Could Happen
Mystery Jets,Bubblegum
Увула,Электрический ток
Cassia,Right There
BRONCHO,Class Historian
Patti Smith,People Have the Power
Methyl Ethel,Neon Cheap
Skegss,Up In The Clouds
Cage The Elephant,Broken Boy (feat. Iggy Pop)
Yung Lean,Acid at 7/11
Mr. Oizo,Flat Beat - Radio Edit
LAUREL,Appetite
Sufjan Stevens,Video Game
Blur,Out of Time
Interpol,All The Rage Back Home
Aldous Harding,Horizon
Ploho,По краю острова
The New Pornographers,Falling Down The Stairs Of Your Smile
Manic Street Preachers,You Stole the Sun from My Heart
Michl,Better With You
Lonely God,Sunday
PJ Harvey,Rid Of Me
Elderbrook,My House
MICHELLE,FYO
Elkka,Burnt Orange - Edit
Metric,Combat Baby
The Shins,So Says I
Satin Jackets,Secret Lover
Lush,For Love
BETWEEN FRIENDS,lonely
Jean Dawson,Power Freaks
King Gizzard & The Lizard Wizard,Automation
my bloody valentine,Soon
Girafot,יש לי חור בלב בצורה שלך
Jim-E Stack,Note To Self (feat. Empress Of)
Pale Waves,Fall to Pieces
Bob Dylan,Maggie's Farm
The West Coast Pop Art Experimental Band,Shifting Sands
Oneohtrix Point Never,Long Road Home
Matilda Mann,Paper Mache World
Simple Minds,Theme For Great Cities
Lido Pimienta,Nada
Martin Kohlstedt,XEO
Baby Charles,I Bet You Look Good On The Dancefloor
serpentwithfeet,Fellowship
The Hives,Main Offender
Cherry Glazerr,Big Bang
FEVER 333,BITE BACK
The Horrors,Still Life
The Raincoats,Lola
Purity Ring,Obedear
Jim-E Stack,Jeanie (feat. Bon Iver)
The Black Keys,Next Girl
Flume,Voices
Suray Sertin,Super Good Times
Suede,Beautiful Ones (Remastered)
King Gizzard & The Lizard Wizard,East West Link
Moon Taxi,Say
Alfie Templeman,One More Day
Kate Bollinger,A Couple Things
Fontaines D.C.,I Don't Belong
bbno$,help herself (with BENEE)
Shygirl,BB
Kris Berry,Superpower
flowerkid,boy with the winfields and the wild heart
Spoon,The Underdog
Drop Nineteens,Kick The Tragedy
IDLES,War
ISLAND,Octopus
Squid,Paddling
Foreign Air,Monsters
Jon Hopkins,Dawn Chorus
The Lightning Seeds,Lucky You
Big Audio Dynamite,E=MC2
The Sugarcubes,Birthday
Phoebe Bridgers,Kyoto (Copycat Killer Version)
The Lightning Seeds,The Life of Riley
ceo@business.net,buttercup 2
The Charlatans,One To Another
mazie,i think i wanna be alone
Squidgenini,All Made Up
KALI,Lucy
Jim-E Stack,Note To Self
Haiva Ru,"Oh, But Lover"
Jim-E Stack,Can We (with Kacy Hill)
Sam Fender,"Waiting For Love - Recorded At RAK Studios, London"
The Japanese House,Lilo
Man Man,Head On [Hold On To Your Heart]
Chernikovskaya Hata,Nochnoe Randevu
Melody's Echo Chamber,I Follow You
Julien Baker,Favor
Fred again..,Chika (Scared)
Dance With the Dead,Invader
Pale Waves,Easy
Two Door Cinema Club,Bad Decisions
Franc Moody,Tired of Waiting
Mission Of Burma,That's When I Reach For My Revolver
courtship.,Prom
Sega Bodega,Make U Stay
SOPHIE,Ponyboy
IDLES,Grounds
Boys Noize,Ride Or Die (feat. Chilly Gonzales)
Baby Queen,Want Me
Tseba,Must Be Love (feat. Electric Fields)
The Beaches,Let's Go
Sufjan Stevens,Meditation V
The Horrors,Press Enter To Exit
Modest Mouse,Bukowski
HARD FEELINGS,Holding On Too Long - Edit
beabadoobee,How Was Your Day?
Paper Idol,James Bond
Sports Team,Happy (God's Own Country)
Makeup And Vanity Set,Implant
Dry Cleaning,Unsmart Lady
Skylar Spence,Private Caller
Death From Above 1979,Trainwreck 1979
Bright Eyes,Lua
black midi,John L
No Vacation,Days
Shortparis,Страшно
Squid,Houseplants
Queens of the Stone Age,Feel Good Hit Of The Summer
The Electric Prunes,I Had Too Much to Dream (Last Night)
Brijean,Wifi Beach
The Cure,10:15 Saturday Night
Yoste,Arc
Noname,Song 33
Catatonia,Mulder and Scully
Tim Atlas,Wallflower
Sports Team,Happy (God’s Own Country)
The Teardrop Explodes,Reward
Blu DeTiger,Toast with the Butter
This Is The Kit,Coming to Get You Nowhere
Fana Hues,Icarus
Girlhood,It Might Take A Woman
Junodream,To the Moon
Foals,Like Lightning
Wooden Shjips,Staring At The Sun
Sylvan Esso,Coffee
Natural Child,Out in the Country
The Academic,Anything Could Happen
Sea Girls,Do You Really Wanna Know?
Nasty Cherry,Win
Lloyd Cole and the Commotions,Rattlesnakes
Golden Vessel,getforward
Republica,Ready to Go
Psychedelic Porn Crumpets,Hymn for a Droid
Folamour,The Journey (feat. Zeke Manyika)
Balthazar,Losers - Purple Disco Machine Remix Edit
Everything Everything,No Reptiles
Fleet Foxes,Tiger Mountain Peasant Song
Bright Eyes,Persona Non Grata
Hot Hot Heat,Middle of Nowhere
Nana Adjoa,No Room
Pretty Vicious,Cave Song
Sonn,Rumours
Arca,Mequetrefe
Christian Lee Hutson,Just Like Heaven
Oasis,Rock ‘n’ Roll Star - Remastered
Sorcha Richardson,Ruin Your Night
Brijs,Mol y Sol
Bright Eyes,Flirted With You All My Life
Hayley Williams,Teardrop
The Damned,New Rose
Makeup And Vanity Set,"A Glowing Light, a Promise"
The Doors,People Are Strange - New Stereo Mix
Blossoms,Lost - In Isolation
Vistas,Start Again
The Fratellis,Whistle For The Choir
Dot,do you
Embrace,All You Good Good People
Friedberg,Yeah
Arcade Fire,We Used to Wait
Gabriel Garzón-Montano,Someone
Katzin,Getaway
Surfer Blood,Floating Vibes
Smoothboi Ezra,My Own Person
Kilo Kish,BITE ME
NEW CITY,Losing My Mind
Lewis Del Mar,Rosalie (CH. II)
Alcest,Sapphire
Run River North,Spiders
Foster The People,The Things We Do
Overcoats,New Shoes
Oneohtrix Point Never,No Nightmares
Matt Maltese,madhouse
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell)
Porches,rangerover - Bonus Track
Chilly Gonzales,The Tearjerker Returns
Phoebe Green,Reinvent
Shed Seven,Going For Gold
The Selecter,On my Radio
Parquet Courts,Almost Had to Start a Fight/In and Out of Patience
Jackie Hayes,eye 2 eye
Clara Cava,Precipicio
pizzagirl,bullet train
The Academic,Mixtape 2003
WARGASM (UK),Your Patron Saints
Sufjan Stevens,Lamentation I
Car Seat Headrest,There Must Be More Than Blood
Jany Green,Lost In Love
Ayoni,Unmoved (A Black Woman Truth)
Ruby Waters,Blow
Vistas,Stuck in Your Head
T. Rex,Debora
Jon Hopkins,Singularity
La Femme,Foreigner
Lake Haze,Dog Walking in the Park
Broadcast,The Book Lovers
Julia Jacklin,Pressure To Party
ESPRIT 空想,Warmpop
Nia Archives,Headz Gone West
WhoMadeWho,Mermaids
The Pom-Poms,Watch Me
The Housemartins,Happy Hour
Twin Shadow,Johnny & Jonnie
Yeah Yeah Yeahs,Zero
Jensen McRae,Wolves
Carlos Cipa,Playful (variation)
Gleemer,Gauze
Alice Longyu Gao,Rich Bitch Juice
Ethan Gruska,Maybe I'll Go Nowhere
Yves Tumor,Strawberry Privilege
Kaiser Chiefs,Never Miss A Beat
Pond,Waiting Around For Grace
Japanese Breakfast,Dreams - Recorded at Spotify Studios NYC
The Undercover Dream Lovers,Let Go
Boys Noize,All I Want (feat. Jake Shears)
"merci, mercy",Fucked Myself Up
Cast,Alright
Chromeo,Fancy Footwork
Squid,Pamphlets
Altin Gün,Yüce Dag Basinda
KAWALA,Chasing/Wasting Time
MIA GLADSTONE,GO
AVIV,Black Coffee
"Black Country, New Road",Science Fair
Longpigs,She Said
Parquet Courts,Human Performance
The Replacements,I Will Dare
Tourist,Siren
Lala Lala,Destroyer
Mannequin Pussy,Control
Sam Ezeh,Sapphire Alley
Erika de Casier,Busy
Softcult,Take It Off
Doss,On Your Mind
Perturbator,"She Is Young, She Is Beautiful, She Is Next"
BROS,Tell Me
HAIM,3 AM - Toro Y Moi Remix
Sparklehorse,Wish You Were Here
Sorry,Cigarette Packet
RKCB,Naive
Videoclub,Euphories
The Vaselines,Son Of A Gun
Jordana,Push Me Away
shame,One Rizla
Circa Waves,Battered & Bruised
Babygirl,Million Dollar Bed
Television,Venus
Skalpel,Escape - Hania Rani Remix
The Bloody Beetroots,Warp 1.9
Skegss,Fantasising
Memorex Memories,Curious Alice
Delta 5,Mind Your Own Business
James Vincent McMorrow,Cavalier
Lazerhawk,Electric Groove
Liz Phair,Fuck and Run
Miynt,A bite of papaya
Oscar Lang,Are You Happy?
Tim Atlas,Compromised
SPIRIT OF THE BEEHIVE,RAPID & COMPLETE RECOVERY
The Preatures,Is This How You Feel?
Bleached,Hard to Kill
Ralph Castelli,Bends
Best Frenz,Ugly Ending
Television,Marquee Moon - Remastered
Rostam,Under Control
Eagles Of Death Metal,Family Affair
The Chats,Drunk n Disorderly
Godford,Better Place
PRONOUN,I WANNA DIE BUT I CAN’T (CUZ I GOTTA KEEP LIVING)
Sun June,Everything I had
LUNA,Blind
Calica,Little Girl
Michl,Deserve You
Jackie Hayes,dead end
Temples,Shelter Song
The Sound,Winning
Octo Octa,Find Your Way Home
The Hellacopters,By the Grace of God
Ten Fé,Waterfalls
Liily,Toro
Pretty Sick,Superstar
The Lathums,Oh My Love
Carlos Cipa,Surges (variation)
Kasbo,Aldrig Mer (feat. TENDER)
Deep Sea Diver,Impossible Weight
DJ Counselling,Cool Air
Logic1000,Like My Way
Sofia Kourtesis,Juntos
Tennis,Runner
Pale Saints,Sight of You
Nation of Language,The Wall & I
Mavi Phoenix,Grass And The Sun
Fabich,Slow Burn
CAYAM,Chaos in the Distance
Scarlet Pleasure,What A Life (j'fais ma life) [feat. Suzane]
We Are Scientists,The Great Escape
Luna Li,Cherry Pit
Dead Nature,Hurricane
Sjowgren,Human Condition
The Beaches,Want What You Got
Sports,The Look
Kero Kero Bonito,The Princess and the Clock
Parquet Courts,Berlin Got Blurry
King Gizzard & The Lizard Wizard,Sense
Kevin Krauter,Opportunity
Kelsey Lu,Poor Fake
XTC,Generals And Majors - 2001 Remaster
COUCOU CHLOE,NOBODY
Iceage,High & Hurt
iogi,you\me\everyone
Gabriela Bee,New Love
The Standells,Dirty Water
BLOXX,Everything I’ve Ever Learned
The Stranglers,Hanging Around - 1996 Remaster
We Are Scientists,After Hours
GRAE,Spinning
Arthur Brown,Fire
The Virgins,Rich Girls
Booka Shade,Hope
ONUKA,ZENIT
Atrey,"Dark Prince, Pt. 3"
Alice Phoebe Lou,Lovesick
Hawkwind,Silver Machine - Live at the Roundhouse London; 1996 Remaster
Cat Power,Woman - Single Version
KALI,Too Tired
Courtney Barnett,Pedestrian at Best
The Sanctuary,gold
Briston Maroney,Freeway
Japandroids,The House That Heaven Built
Wire,Outdoor Miner - 2006 Remastered Version
Fickle Friends,IRL
Lush,Desire Lines
Warpaint,Whiteout
Papooz,The Garden
RAC,Feel You
Arlo Parks,Redondo Beach - Reprise by La Blogothèque
Ginger Root,Weather
Lala Lala,€ € € €^^%%!!!!!heaven!!!!!!
marinelli,Pity Party
Kero Kero Bonito,Well Rested
Rostam,These Kids We Knew
daydream Masi,Night Like This
Billie Marten,Live
Captain Beefheart & His Magic Band,Zig Zag Wanderer
Fontaines D.C.,Too Real
Shygirl,TWELVE
Julian Cope,World Shut Your Mouth
Genesis Owusu,A Song About Fishing
Blood Cultures,Set it on Fire
Lava La Rue,Angel
Julia Stone,Fire In Me
MAGENTA,Avec toi
Soccer Mommy,Drive
KALI,I Just Wanna
Sega Bodega,Salv Goes To Hollywood
Maddie Medley,Buzz
Darlingside,Knights Of Cydonia - Recorded at Spotify Studios NYC
Fickle Friends,Cosmic Coming of Age
The Yardbirds,Over Under Sideways Down - The Mono Album
LAUREL,Let Go
Electroforez,Алкоголь мой враг
Weezer,Keep Fishin'
Pixies,U-Mass
WARGASM (UK),Rage All Over
Dorian Electra,My Agenda (feat. Village People & Pussy Riot)
French Cassettes,City Kitty
Aldous Harding,Revival
King Gizzard & The Lizard Wizard,Fishing For Fishies
COBRAH,WET
Diskopunk,Fire
The Soft Moon,Wasting
shame,Alphabet
Pop Up!,Paradise City
Intelligency,Leta
Ride,Leave Them All Behind - 2001 Remaster
Green-House,Sunflower Dance
Melody's Echo Chamber,"Some Time Alone, Alone"
MC5,Kick Out The Jams (Original Uncensored Version)
Carlos Cipa,"Fantasia on Bach (on Steinway Grand, 1975)"
Electroforez,Мёртв внутри
Pillow Queens,Liffey
The Surfaris,Wipe Out
warner case,ok
Ethel Cain,God's Country (feat. Wicca Phase Springs Eternal)
Drunken Masters,Pray
imugi 이무기,Swimming
Nadia Reid,Oh Canada
Charlie Houston,19
The Fall,Totally Wired
Briston Maroney,Sinkin'
Sycco,Germs
NewDad,Slowly
A. G. Cook,Being Harsh
The Night Café,Think It Over
Puma Blue,Bruise Cruise
Hether,Twinkle
Weezer,Dope Nose
my bloody valentine,in another way
Slomosa,Kevin
Viagra Boys,Creatures
The Magic Gang,What Have You Got To Lose
The Vines,Outtathaway
Vistas,Everything Changes in the End
Tash Sultana,Willow Tree (feat. Jerome Farah)
BLOW,Full Delight
Benny Sings,Rolled Up
Дурной Вкус,звук и темнота
Blonde Redhead,In Particular
Besphrenz,better off alone
Dry Cleaning,Magic of Meghan
Molchat Doma,Дискотека / Discoteque
Fontaines D.C.,Big
EL VY,"Return to the Moon (Political Song for Didi Bloome to Sing, with Crescendo)"
Junior Mesa,All Or Nothin
The Regrettes,Poor Boy
Biosphere,Angel's Flight
Cihangir Aslan,Night Owl
WAAX,Labrador
Arca,Watch
Soulwax,Krack
The Libertines,Gunga Din
Empress Of,One Breath
T. Rex,Bang A Gong [Get It On]
bdrmm,Gush
Pete Shelley,Homosapien
James,Born Of Frustration
Sleater-Kinney,One More Hour
Desert Sessions,Something You Can't See
Gary Numan,Now and Forever
Thieves Like Us,Drugs in My Body
Helena Deland,Someone New
Baird,BITE
M83,Kim & Jessie
carpetgarden,Beautiful Mind
Liquid Liquid,Cavern
LA Priest,What Moves
Skullcrusher,Places/Plans
Manic Street Preachers,A Design for Life - 2016 Remastered Version
Hinds,Good Bad Times
Shovels & Rope,In My Room
Strawberry Alarm Clock,Incense And Peppermints
Best Coast,Feeling Ok
L.A. Takedown,Bad Night at Black's Beach
Neon Nox,Fahrenheit
Mallrat,Better
Madi Diaz,Nervous
Sharon Van Etten,A Crime (By Big Red Machine)
Overcoats,The Fool
Julia Stone,Dance
Mélodie Lauret,quand j'entends les gens
X-Ray Spex,Germ Free Adolescents
Sea Girls,Ready For More
Lush,Sweetness and Light
Sjava,Umcebo
Patti Smith,Free Money
Biig Piig,Cuenta Lo
Skids,Into The Valley
Widowspeak,Romeo and Juliet
Mr. Oizo,Positif
Alabama Shakes,Hang Loose
Laura Marling,Devil's Spoke
Norah Jones,"Jesus, Etc."
Alon Eder,קצת אהבה לא תזיק
Becca Mancari,Hunter
beabadoobee,Together
Blonde Redhead,23
HÅN,Jenny!
LOYAL,Light up for You
Modern Baseball,Intersection
? & The Mysterians,96 Tears
Life in Sweatpants,Good 2 Yourself
Laura Marling,Soothing
Sun June,Bad girl
Alcest,Autre temps
Bully,Where to Start
Molchat Doma,Небеса и Ад (Heaven and Hell)
Дайте танк (!),Вы
Jade Bird,Black Star
Porridge Radio,Good For You
The Sleepy Jackson,Good Dancers
Kartell,Crossing Paths
Dennis Cruz,Ahora Todo Va
Alfie Templeman,Shady
Kacy Hill,Arm's Length
elkyn,something
Cihan Mürtezaoğlu,Belli Olmaz
Leon Vynehall,An Exhale
CSS,"Music Is My Hot, Hot Sex"
shame,Concrete
YSI,Shake well before use
Valley Boy,Sad Girl
Princess Nokia,The Conclusion
Soda State,Gold - Club Soda Mix
Stella Donnelly,Old Man
Pom Pom Squad,Head Cheerleader
Leo Bhanji,Raw
Yaeji,MONEY CAN'T BUY
Fred Falke,So Good
Refused,Born On The Outs
Squid,The Cleaner
Kelsey Lu,let all the poisons that lurk in the mud seep out
The Brian Jonestown Massacre,Bout des doigts
salute,Want U There
The Bees,A Minha Menina
shame,Nigel Hitter
The Bronx,Superbloom
The Maccabees,Marks To Prove It
Sir Sly,Loverboy
Palma Violets,Best of Friends
NiNE8,FVR105 - p-rallel Remix
Angelo De Augustine,Tomb
Jack Peñate,Torn On The Platform
The Vines,Ride
Doss,Strawberry
Madeline Kenney,Sucker
The Mothers Of Invention,Trouble Every Day
Shannon Lay,Rare to Wake
ABSOLUTE.,Sage comme une image - Good as Gold
Cayucas,Yeah Yeah Yeah
Martin Kohlstedt,JUL
Orions Belte,Joe Frazier
my bloody valentine,Lose My Breath
dexter,Maybe the Problem Is Me
Black Grape,Kelly's Heroes
Black Honey,All My Pride
Viagra Boys,Girls & Boys
Malena Villa,Lindos Problemas
Motorama,Pole Star
Magazine,Shot By Both Sides - Remastered
070 Shake,Rocketship
The Smashing Pumpkins,Rocket - Remastered
Ex:Re,Misery Is a Butterfly
Tails,second thoughts
This Mortal Coil,You And Your Sister (remastered)
Eels,Last Stop: This Town
Emma-Jean Thackray,Say Something
Mansionair,Technicolour
Garbage,Queer
Solomun,Ocean (feat. Jamie Foxx) - Moodymann & Amp Fiddler Extended Remix
Let's Eat Grandma,Hot Pink
DJ Mehdi,Signatune - Thomas Bangalter Edit
The Howl & The Hum,Godmanchester Chinese Bridge - Radio Edit
my bloody valentine,All I Need
Everything Everything,Violent Sun
Johnny Thunders & The Heartbreakers,Born to Lose
Synapson,Toujours (feat. Tim Dup & Lass)
Dehd,Flying
Juan Wauters,Locura
Чёрная Речка,Друг
Gengahr,Icarus
Laurence Guy,Mutual Excitement is a Wonderful Thing
DIIV,Skin Game
Dead Pony,"23, Never Me"
Peach Tree Rascals,Deer
Cut Worms,Every Once In A While
Turbo Knight,Rasengan
Young Rising Sons,Last Week On A Friday
Poolside,Shakedown Street
California Wives,Blood Red Youth
Nicolas Duque,2You
Bendigo Fletcher,Evergreen
Altin Gün,Leyla
Genesis Owusu,Gold Chains
Me & My Toothbrush,Intoxicated
Qrion,Monolith
chemical club,Arm's Length
Jay Som,Tenderness
Boris,Farewell
George Clanton,Driving in My Car
Holy Fawn,Dark Stone
Kelly Lee Owens,Re-Wild
girlhouse,knuckle tattoo
Sleeper,Inbetweener
Dameer,Michelle
Maybird,Turning Into Water
Far Caspian,Warning Sign
Born Ruffians,I Fall in Love Every Night
The Tornados,Telstar
Lilla Vargen,Downtown
Sorcha Richardson,The Starlight Lounge
Amy Allen,Difficult
The Detroit Cobras,Cha Cha Twist
Temples,Certainty
Jenn Champion,O.M.G. (I'm All Over It)
Shire T,Blue Kiss
Coma Cinema,Her Sinking Sun
Borai,Make Me
The Drums,What We Had
Mr GISCARD,H&M
Tune-Yards,Water Fountain
Hundred Waters,Show Me Love
Whose Rules,Lights
shame,Water in the Well
Major Murphy,Attention
Sid Vicious,My Way - 1993 Remastered Version
Mathilda Homer,Rock Bottom
Blondie,Dreaming - Remastered
Tiberius b,Big Deal
Curtis Waters,System
Boyish,Superstar
Routine,Cady Road
Myd,Whether the Weather
Soccer Mommy,Wide Open Spaces
Dugong Jr,Ceramic
Widowspeak,Plum
The Futureheads,The Beginning Of The Twist
Hatena,SOULLL
Beck,Chemical
duendita,bio
The Kills,Cheap And Cheerful - Sebastian remix
Luna Delirious,Valentine
Dan Croll,On Top
Pynch,Somebody Else
Hether,Sex Wax
Lene Lovich,Lucky Number
SOAK,Bloodbuzz Ohio
Jacques Greene,Promise
nimino,What I Want
Hania Rani,Buka
rainbow frog biscuits,Attention
Nick Leng,One More Time
IDLES,A Hymn
First Aid Kit,On the Road Again
The Orwells,Who Needs You
Kalipo,Footsteps (feat. Rampue)
Bickle,Heartbreak Sedative
Stereo Honey,What Makes a Man
Temples,Paraphernalia
BarbWalters,Roses
Lewis Del Mar,Stealing (Nightly)
spookyghostboy,yr face
Pixey,Free to Live in Colour
Love Fame Tragedy,5150
Ben Kweller,American Cigarettes
Ruby Waters,Difficult
Younger Hunger,Charlie Kaufman
Wipers,When It's Over
Molchat Doma,Ответа Нет / Otveta Net
Blonde Redhead,Misery Is a Butterfly
Июльские Дни,Не для меня
Freak Slug,Radio
R.E.M.,Radio Free Europe
PUP,Rot
Vantage,Right on Time
Ulrich Schnauss,On My Own - 2019 remaster
Cassandra Jenkins,Michelangelo
The Pirouettes,Oulala
Pinkshinyultrablast,Songs
Saski,Faking Bright
Slow Pulp,Track
Donbor,Against the Law
Freeds,Fruit Bats
Obskür,Bayside - 10 Years Of Eats Everything Remix
Caroline Rose,Freak Like Me
Posh Chocolates,Dancin' For 2
Chapterhouse,Mesmerise
Oscar Scheller,Half Eaten
Wormy,Hungry Ghost (feat. Samia)
Django Django,Hail Bop
Habiluim,שגר פגר
Just Mustard,Deaf
Molly Tuttle,Fake Empire
Courtney Barnett,History Eraser
Ratboys,Go Outside
VANT,In the Dark Times
Argonaut & Wasp,Dog Days
Увула,Пульс
November Ultra,Miel
Jilted John,Jilted John - Single Version
Skegss,Bush TV
Samia,Milk
The Subways,Fight
Baby Queen,These Drugs
Dylan Fraser,I’d Rather Be Here
NICOLAS,DANCING IN THE MOONLIGHT
CRITTER,PFC
Vistas,Like An American
Buttering Trio,I Cried For You
Engelwood,Lovin' Is Everywhere
The Beta Band,Dry The Rain (Remaster)
Ethel Cain,Michelle Pfeiffer (feat. lil aaron)
The Godfathers,"Birth, School, Work, Death"
Babyshambles,Killamangiro
FIDLAR,West Coast
girlhouse,pretty girl in la
SebastiAn,Walkman
Moss,My Decision - Edit
Biffy Clyro,End Of
ABSOLUTE.,Convalesce (feat. REGALJASON)
Ethan Tasch,Face Again
Priya Ragu,Good Love 2.0 - Little Dragon Remix
St. Vincent,Digital Witness
Swirlies,Pancake
Lawrence Arabia,Apple Pie Bed
Cajun Dance Party,Amylase
Katy Kirby,Cool Dry Place
Kavinsky,Testarossa (SebastiAn Remix)
