Artist,Song,Popularity
PJ Harvey,Good Fortune,49.0
Mk.gee,cz,49.0
Taken By Trees,Sweet Child O' Mine,49.0
Snail Mail,Pristine,49.0
The Jesus and Mary Chain,Just Like Honey,49.0
Dot,do you,49.0
Blur,Out of Time,49.0
Cavetown,Sharpener,48.0
Morphine,Buena,48.0
Myd,Moving Men,48.0
Small Faces,Itchycoo Park,48.0
The Primitives,Crash,48.0
The Fratellis,Whistle For The Choir,48.0
Bea Miller,FEEL SOMETHING DIFFERENT,48.0
ESPRIT 空想,Warmpop,48.0
The Cure,The Lovecats,48.0
The Undercover Dream Lovers,Let Go,48.0
Ian Dury,Sex & Drugs & Rock & Roll,48.0
Day Wave,Drag,48.0
Beck,Up All Night,48.0
Editors,An End Has A Start,48.0
Drop Nineteens,Kick The Tragedy,48.0
Celeste,Tonight Tonight,48.0
neko,Wish,48.0
Fred again..,Diana (You Don't Even Know),48.0
Pretty Sick,Superstar,48.0
OK Go,Get Over It,48.0
Yves Tumor,Gospel For A New Century,48.0
Sunflower Bean,Moment In The Sun,48.0
Kaiser Chiefs,Oh My God,48.0
The Rapture,Echoes,48.0
The Snuts,Glasgow,48.0
The Replacements,I Will Dare,48.0
Cassia,Right There,48.0
Echo & the Bunnymen,The Cutter,48.0
Ethel Cain,God's Country (feat. Wicca Phase Springs Eternal),48.0
slowthai,feel away (feat. James Blake & Mount Kimbie),48.0
The Beta Band,Dry The Rain,48.0
CLUBZ,Nagano,48.0
The Lightning Seeds,The Life of Riley,48.0
Beck,Blue Moon,48.0
Lola Marsh,Only for a Moment,48.0
Stiff Little Fingers,Alternative Ulster,48.0
Broken Bells,After the Disco,48.0
Sad Night Dynamite,Krunk,48.0
Shocking Blue,Send Me A Postcard,48.0
beabadoobee,Bobby,48.0
Strawberry Alarm Clock,Incense And Peppermints,48.0
Mr. Oizo,Positif,48.0
Grimes,Delete Forever,47.0
Alcest,Sapphire,47.0
Rhye,Come In Closer,47.0
Virtual Mage,Aether,47.0
Sure Sure,Funky Galileo,47.0
Miles Kane,Come Closer,47.0
King Princess,PAIN,47.0
Langhorne Slim,The Way We Move,47.0
Arlo Parks,Hope,47.0
The Slits,I Heard It Through The Grapevine,47.0
The Surfaris,Wipe Out,47.0
Ratatat,Wildcat,47.0
Yoke Lore,Goodpain,47.0
DIIV,Under the Sun,47.0
The 1975,Jesus Christ 2005 God Bless America,47.0
Shallou,You and Me,47.0
Foals,Exits,47.0
The The,Uncertain Smile,47.0
Inhaler,Who's Your Money On? (Plastic House),47.0
Pavement,Gold Soundz,47.0
Future Islands,For Sure,47.0
Ólafur Arnalds,Loom (feat. Bonobo),47.0
Nia Archives,Headz Gone West,47.0
TV On The Radio,DLZ,47.0
FKA twigs,mary magdalene,47.0
Mystery Jets,Young Love (feat. Laura Marling),47.0
Sparks,This Town Ain't Big Enough For Both Of Us,47.0
The Black Keys,Gotta Get Away,47.0
Deerhunter,Revival,47.0
Psychedelic Porn Crumpets,Hymn for a Droid,47.0
Pretty Vicious,Cave Song,47.0
Дайте танк (!),Вы,47.0
Dayglow,Medicine,47.0
PawPaw Rod,Glass House,47.0
BENEE,If I Get To Meet You,47.0
Baby Queen,Want Me,46.0
Arlo Parks,Hurt,46.0
Barry Can't Swim,Lone Raver,46.0
Bnny,Time Walk,46.0
Minutemen,Corona,46.0
Electroforez,Алкоголь мой враг,46.0
King Gizzard & The Lizard Wizard,Sense,46.0
Tim Atlas,Compromised,46.0
The Bloody Beetroots,Warp 1.9,46.0
The Futureheads,Hounds of Love,46.0
Roxy Music,Virginia Plain,46.0
The Wombats,Let's Dance to Joy Division,46.0
Benji Lewis,Drift,46.0
Melody's Echo Chamber,I Follow You,46.0
Remi Wolf,Woo!,46.0
Noname,Rainforest,46.0
Cast,Alright,46.0
King Gizzard & The Lizard Wizard,O.N.E.,46.0
Sjowgren,I Don't Know,46.0
No Vacation,Days,46.0
The Japanese House,Dionne (feat. Justin Vernon),46.0
mazie,i think i wanna be alone,46.0
Washed Out,Too Late,46.0
Os Mutantes,A Minha Menina,46.0
Florence + The Machine,South London Forever,46.0
Albert Hammond Jr,Set to Attack,46.0
Jake Bugg,All I Need,46.0
Soccer Mommy,yellow is the color of her eyes,46.0
Porter Robinson,Unfold,46.0
Hundred Waters,Show Me Love,46.0
Of Monsters and Men,Visitor,46.0
Arlo Parks,Black Dog,46.0
Cuco,Forevermore,46.0
The Who,I Can't Explain - Mono Version,46.0
Wolf Alice,Bros,46.0
Paul McCartney,Pretty Boys (feat. Khruangbin),46.0
Björk,Hyperballad,46.0
The Modern Lovers,Roadrunner,46.0
London Grammar,Californian Soil,46.0
Noga Erez,VIEWS,46.0
Lime Cordiale,On Our Own,46.0
Sylvan Esso,Ferris Wheel,46.0
Bleachers,Stop Making This Hurt,46.0
Lucy Dacus,VBS,45.0
boy pablo,wachito rico,45.0
Metric,Synthetica,45.0
Augustine,Prom,45.0
Remi Wolf,Monte Carlo,45.0
The Japanese House,Chewing Cotton Wool,45.0
We Are Scientists,"Nobody Move, Nobody Get Hurt",45.0
Wilco,Heavy Metal Drummer,45.0
Maximo Park,Our Velocity,45.0
MICHELLE,SUNRISE,45.0
Shed Seven,Going For Gold,45.0
Tom Robinson Band,2-4-6-8 Motorway,45.0
Sharon Van Etten,Like I Used To,45.0
Sonic Youth,Sugar Kane,45.0
Still Woozy,Kenny,45.0
Dinosaur Jr.,Start Choppin',45.0
The Big Moon,Your Light,45.0
LCD Soundsystem,Drunk Girls,45.0
The Wombats,Cheetah Tongue,45.0
The Coral,Pass It On,45.0
PJ Harvey,Rid Of Me,45.0
Everything Everything,Distant Past,45.0
Faye Webster,Cheers,45.0
Hether,Twinkle,45.0
Nation of Language,The Wall & I,45.0
Patti Smith,People Have the Power,45.0
Shygirl,BB,45.0
Band Of Skulls,Death By Diamonds And Pearls,45.0
The Happy Fits,Hold Me Down,45.0
The Vaselines,Son Of A Gun,45.0
La Femme,Cool Colorado,45.0
Mannequin Pussy,Control,45.0
Electroforez,Мёртв внутри,45.0
The Kills,Cheap And Cheerful - Sebastian remix,45.0
chloe moriondo,Bodybag,45.0
Sarcastic Sounds,say goodbye,45.0
Matilda Mann,Paper Mache World,45.0
Jonathan Richman,I Was Dancing In The Lesbian Bar,45.0
Big Audio Dynamite,E=MC2,45.0
S. Carey,Rose Petals,45.0
Morrissey,Back on the Chain Gang,45.0
Broadcast,The Book Lovers,45.0
Christian Löffler,Pastoral,45.0
Grimes,REALiTi (Demo),45.0
Little Dragon,Another Lover,45.0
Warpaint,Love Is to Die,45.0
Japanese Breakfast,Posing In Bondage,45.0
Girafot,יש לי חור בלב בצורה שלך,45.0
Japanese Breakfast,Savage Good Boy,45.0
Lewis Del Mar,Painting (Masterpiece),45.0
Black Pumas,Fast Car,45.0
Grandaddy,A.M. 180,45.0
Courtney Barnett,Pedestrian at Best,45.0
The Cure,Play For Today,45.0
T. Rex,Cosmic Dancer,45.0
IDLES,Grounds,44.0
Everything Everything,No Reptiles,44.0
Brijs,Mol y Sol,44.0
Prospa,WANT NEED LOVE,44.0
Chilly Gonzales,The Tearjerker Returns,44.0
Rise Against,"Broken Dreams, Inc.",44.0
The National,Bloodbuzz Ohio,44.0
Foo Fighters,Chasing Birds,44.0
Grimes,So Heavy I Fell Through the Earth - Art Mix,44.0
Hot Hot Heat,Bandages,44.0
Rolling Blackouts Coastal Fever,French Press,44.0
Smoothboi Ezra,My Own Person,44.0
The Sugarcubes,Birthday,44.0
Oscar Anton,ophelie,44.0
Andrew Bird,Andalucia,44.0
Purity Ring,Obedear,44.0
Modest Mouse,Bukowski,44.0
Gengahr,Heavenly Maybe,44.0
The Lightning Seeds,Lucky You,44.0
James Blake,Are You Even Real?,44.0
Mk.gee,Roll with the Punches,44.0
Daniel Deluxe,Darkness,44.0
Kilo Kish,NICE OUT,44.0
Weezer,Dope Nose,44.0
R.E.M.,Radio Free Europe,44.0
LAUNDER,Fade,44.0
The Chats,Drunk n Disorderly,44.0
Aldous Harding,Horizon,44.0
Mystery Jets,Two Doors Down,44.0
Hockey Dad,I Missed Out,44.0
my bloody valentine,Soon,44.0
Richard Hell,Blank Generation,44.0
Yelle,Je veux te voir,44.0
Flyte,Everyone's A Winner,44.0
Santigold,Chasing Shadows,44.0
Lawrence Rothman,Kate's Not Here - Day Wave & Lawrence Rothman Remix,44.0
Mansionair,Astronaut - Something About Your Love,44.0
Julien Baker,Faith Healer,44.0
London Grammar,Wasting My Young Years,44.0
Fleet Foxes,Sunblind,44.0
Dijon,alley-oop,44.0
The Only Ones,Another Girl Another Planet,44.0
MGMT,Electric Feel - Justice Remix,44.0
Weezer,Keep Fishin',44.0
Soccer Mommy,Drive,44.0
Turnover,Super Natural,44.0
London Grammar,Lose Your Head,44.0
C. Diab,Love,44.0
half•alive,What's Wrong,44.0
The Smiths,How Soon Is Now? - 2008 Remaster,44.0
Coma Cinema,Her Sinking Sun,44.0
Alabama Shakes,Hang Loose,44.0
Alon Eder,קצת אהבה לא תזיק,44.0
BENEE,Happen To Me,43.0
Laura Marling,Devil's Spoke,43.0
Bon Iver,PDLIF,43.0
Arcade Fire,Electric Blue,43.0
BENEE,Kool,43.0
Bicep,Siena,43.0
The Electric Prunes,I Had Too Much to Dream (Last Night),43.0
Parquet Courts,Total Football,43.0
Perfume Genius,Otherside,43.0
The Shins,The Past And Pending,43.0
MOSSS,Here If You Want (Pale Blue),43.0
Sjava,Umcebo,43.0
Editors,Ocean of Night,43.0
Wallice,23,43.0
Biig Piig,Lavender,43.0
Glass Animals,Heart-Shaped Box,43.0
Mickey Darling,Reverse Cowgirl,43.0
Noga Erez,End of the Road,43.0
bdrmm,Gush,43.0
Yeah Yeah Yeahs,Zero,43.0
Samia,Big Wheel,43.0
Orla Gartland,More Like You,43.0
Mr. Oizo,Flat Beat - Radio Edit,43.0
Ploho,По краю острова,43.0
Blonde Redhead,Misery Is a Butterfly,43.0
Yung Lean,Acid at 7/11,43.0
Friendly Fires,Paris (Aeroplane Remix),43.0
Ginger Root,Weather,43.0
Wire,Outdoor Miner - 2006 Remastered Version,43.0
Suicide,Dream Baby Dream,43.0
tg.blk,Love Being Used,43.0
The Virgins,Rich Girls,43.0
KALI,I Just Wanna,43.0
The Stooges,Search and Destroy - Iggy Pop Mix,43.0
Plustwo,Melody (1983 Club Vinyl Mix),43.0
beabadoobee,"Yoshimi, Forest, Magdalene",43.0
Best Frenz,Ugly Ending,43.0
Videoclub,Euphories,43.0
Jade Bird,Uh Huh,42.0
Lianne La Havas,Weird Fishes,42.0
The Beat,Mirror in the Bathroom,42.0
Wallows,Virtual Aerobics,42.0
Kito,Recap (with VanJess & Channel Tres),42.0
Jay Som,Tenderness,42.0
New Young Pony Club,Ice Cream,42.0
yes/and,Centered Shell,42.0
Television,Venus,42.0
Mazzy Star,She Hangs Brightly,42.0
Yves Tumor,Strawberry Privilege,42.0
JAWNY,Best Thing,42.0
The Jungle Giants,In Her Eyes,42.0
Junodream,To the Moon,42.0
Dayglow,Balcony,42.0
Squid,Houseplants,42.0
mxmtoon,creep,42.0
The Teardrop Explodes,Reward,42.0
Dodgy,Staying Out For The Summer,42.0
The Doors,People Are Strange - New Stereo Mix,42.0
The Cribs,Men's Needs,42.0
fanclubwallet,Car Crash in G Major,42.0
Nick Lowe,I Love The Sound Of Breaking Glass,42.0
Slow Pulp,Steel Birds,42.0
HEALTH,ISN’T EVERYONE,42.0
Lush,Desire Lines,42.0
Caroline Polachek,Breathless,42.0
Blood Cultures,Set it on Fire,42.0
spill tab,Calvaire,42.0
SOAK,Knock Me Off My Feet,42.0
Melody's Echo Chamber,"Some Time Alone, Alone",42.0
Viagra Boys,Down in the Basement,42.0
Jean Dawson,Power Freaks,42.0
Delta 5,Mind Your Own Business,42.0
HAIM,The Steps,42.0
Molchat Doma,Дискотека / Discoteque,42.0
Mystery Jets,Bubblegum,42.0
Julien Baker,Favor,42.0
Liily,Toro,42.0
The Spencer Davis Group,I'm A Man,42.0
The Hellacopters,By the Grace of God,42.0
Sea Girls,Do You Really Wanna Know?,42.0
Tim Atlas,Dive,42.0
MC5,Kick out the Jams,42.0
The Pigeon Detectives,Take Her Back,42.0
shame,One Rizla,42.0
The West Coast Pop Art Experimental Band,Shifting Sands,42.0
Tamaryn,Love Fade,42.0
Charlotte Day Wilson,Take Care of You (feat. Syd),42.0
The Stranglers,Hanging Around - 1996 Remaster,42.0
Foals,On The Luna,42.0
Romy,Lifetime,42.0
NewDad,I Don't Recognise You,42.0
Tennis,Runner,42.0
Mother Mother,Forgotten Souls,42.0
Kate Nash,Foundations,42.0
Circa Waves,Lemonade,42.0
St. Vincent,Masseduction,42.0
Chiiild,Pirouette,42.0
Philip Glass,The Poet Acts,42.0
The Sound,Winning,42.0
Castaways,"Liar, Liar",42.0
Primal Scream,Movin' on Up,42.0
Gilligan Moss,Lee's Last Dance,42.0
Hot Hot Heat,Middle of Nowhere,42.0
X-Ray Spex,Germ Free Adolescents,42.0
Ralph Castelli,Bends,42.0
The Raincoats,Lola,42.0
IDLES,War,41.0
Moses Sumney,Cut Me,41.0
Arca,Mequetrefe,41.0
A. G. Cook,Xcxoplex (with Charli XCX),41.0
Skylar Spence,Private Caller,41.0
Dayglow,Something,41.0
Queens of the Stone Age,Feel Good Hit Of The Summer,41.0
The Cure,10:15 Saturday Night,41.0
Ichon,La vie,41.0
Cavetown,Ur Gonna Wish U Believed Me,41.0
Gleemer,Gauze,41.0
Sylvan Esso,Rooftop Dancing,41.0
Keaton Henson,You Don't Know How Lucky You Are,41.0
Embrace,All You Good Good People,41.0
FIDLAR,West Coast,41.0
King Gizzard & The Lizard Wizard,Honey,41.0
Kavinsky,Nightcall - Breakbot Remix,41.0
Ride,Leave Them All Behind - 2001 Remaster,41.0
The Housemartins,Happy Hour,41.0
Metronomy,Lately,41.0
The Undertones,Teenage Kicks,41.0
Weakened Friends,Peel,41.0
Sam Gellaitry,Duo,41.0
Warpaint,Ashes to Ashes,41.0
Lucy Dacus,Thumbs,41.0
Pale Saints,Sight of You,41.0
The Beaches,Want What You Got,41.0
The Verve,Slide Away - 2016 Remastered,41.0
Sjowgren,Human Condition,41.0
The Standells,Dirty Water,41.0
Shane Tyler,The Clouds Cleared the Way,41.0
MSTRKRFT,Heartbreaker,41.0
Jacob Banks,Devil That I Know,41.0
Roosevelt,See You Again,41.0
Sofi Tukker,Swing - Mahmut Orhan Remix,41.0
Yellow Days,The Way Things Change,41.0
PWNT,Shortcuts,41.0
The Black Keys,Next Girl,41.0
LUNA,Blind,41.0
Wallice,Punching Bag,41.0
Arcade Fire,We Used to Wait,41.0
Fana Hues,Icarus,41.0
Memorex Memories,Curious Alice,41.0
Wooden Shjips,Staring At The Sun,41.0
Death Cab for Cutie,Waterfalls,41.0
binki,Wiggle,41.0
Alfie Templeman,Everybody’s Gonna Love Somebody - Edit,41.0
The Replacements,Androgynous,41.0
Hayley Williams,Over Those Hills,41.0
Crumb,BNR,41.0
Blu DeTiger,Vintage - Flight Facilities Remix,41.0
Skids,Into The Valley,41.0
Lush,Sweetness and Light,41.0
Kylesimps,S.I.M.P,41.0
Johnny Thunders & The Heartbreakers,Born to Lose,41.0
Synapson,Toujours (feat. Tim Dup & Lass),41.0
Patti Smith,Free Money,40.0
King Gizzard & The Lizard Wizard,Intrasport,40.0
my bloody valentine,Lose My Breath,40.0
Wallows,OK - with Remi Wolf & Solomonophonic,40.0
BENEE,Night Garden (feat. Kenny Beats & Bakar),40.0
dad sports,out 4 a breather,40.0
Franc Moody,Losing Touch,40.0
LUNA AURA,HONEY,40.0
Longpigs,She Said,40.0
The Lathums,Oh My Love,40.0
Georgia,Running Up That Hill,40.0
Eagles Of Death Metal,Family Affair,40.0
King Gizzard & The Lizard Wizard,Rattlesnake,40.0
Nothing,Blue Line Baby,40.0
Parquet Courts,Borrowed Time,40.0
Bad Waitress,That Sedative,40.0
Beach Bunny,Blame Game,40.0
The Jesus and Mary Chain,April Skies,40.0
DIIV,Taker,40.0
CSS,"Music Is My Hot, Hot Sex",40.0
Jelani Aryeh,From These Heights,40.0
Martha and the Muffins,Echo Beach,40.0
Madi Diaz,"New Person, Old Place",40.0
Nick Leng,Lonely Shade of Blue,40.0
Widowspeak,Plum,40.0
Lene Lovich,Lucky Number,40.0
nimino,What I Want,40.0
Supergrass,"Tales of Endurance, Pt. 4, 5 & 6",40.0
The Yardbirds,Over Under Sideways Down - The Mono Album,40.0
Ryan Beatty,Evergreen,40.0
Japandroids,The House That Heaven Built,40.0
Cranes,Jewel,40.0
Fred again..,Chika (Scared),40.0
Arlo Parks,Green Eyes,40.0
Jelani Aryeh,Marigold,40.0
St. Vincent,Pay Your Way In Pain,40.0
Medicine,Time Baby III,40.0
Man Man,Head On [Hold On To Your Heart],40.0
Calica,Drive Slow,40.0
XTC,Generals And Majors - 2001 Remaster,40.0
Loverground,Be Patient,40.0
Alice Longyu Gao,Rich Bitch Juice,40.0
ORI,Solo,40.0
Pixies,U-Mass,40.0
Hether,Oidar,40.0
Ratboys,Go Outside,40.0
COBRAH,WET,40.0
Alcest,Autre temps,40.0
Angelo De Augustine,Santa Barbara,39.0
Boys Noize,All I Want (feat. Jake Shears),39.0
Sorry,Cigarette Packet,39.0
CHVRCHES,He Said She Said,39.0
Shai Tsabari,לווי אותי,39.0
Oneohtrix Point Never,Long Road Home,39.0
King Gizzard & The Lizard Wizard,Automation,39.0
The Preatures,Is This How You Feel?,39.0
San Holo,"you’ve changed, i’ve changed",39.0
Bloc Party,Flux,39.0
Bomba Estéreo,Deja,39.0
Rhye,Safeword,39.0
Eels,Last Stop: This Town,39.0
Sleeper,Inbetweener,39.0
Garbage,Queer,39.0
Flume,Voices,39.0
Liz Phair,Fuck and Run,39.0
The Vaccines,Headphones Baby,39.0
CASTLEBEAT,80's High School,39.0
Roosevelt,Feels Right,39.0
Pinkshinyultrablast,Holy Forest,39.0
Parquet Courts,Almost Had to Start a Fight/In and Out of Patience,39.0
Beach Bunny,Ms. California,39.0
boylife,peas,39.0
Gus Dapperton,First Aid,39.0
Julian Cope,World Shut Your Mouth,39.0
Siriusmo,Nights Off,39.0
Hania Rani,Buka,39.0
The Orwells,Who Needs You,39.0
The Knocks,Bittersweet Symphony,39.0
Soulwax,Krack,39.0
Dry Cleaning,Magic of Meghan,39.0
Mission Of Burma,That's When I Reach For My Revolver,39.0
BROS,Tell Me,39.0
We Are Scientists,The Great Escape,39.0
Favourite People,Shell Island,39.0
Courtney Barnett,History Eraser,39.0
Fruit Bats,Today,39.0
Tash Sultana,Mystik,39.0
Sharon Van Etten,Comeback Kid,39.0
Jayda G,All I Need (DJ-Kicks) - Edit,39.0
Дурной Вкус,звук и темнота,39.0
The Vines,Outtathaway,39.0
Nitin Sawhney,Daydream (feat. Ashwin Srinivasan),39.0
Ethan Tasch,Room,39.0
Sundara Karma,Flame,39.0
Ron Gallo,Kill the Medicine Man,39.0
Electroforez,Русская принцесса,39.0
José González,El Invento,39.0
The Pom-Poms,Watch Me,39.0
Car Seat Headrest,There Must Be More Than Blood,39.0
easy life,have a great day,39.0
Vagabon,Water Me Down,39.0
The Beths,Jump Rope Gazers,39.0
Wolf Alice,Smile,39.0
The Hellacopters,Toys And Flavors,39.0
First Aid Kit,Come Give Me Love,38.0
Phoebe Bridgers,Kyoto - Spotify Singles,38.0
Purity Ring,Better Off Alone,38.0
shame,Concrete,38.0
"Now, Now",MJ,38.0
Nana Adjoa,No Room,38.0
Japanese Breakfast,Dreams - Recorded at Spotify Studios NYC,38.0
Uffie,Pop The Glock,38.0
The Rezillos,Top of the Pops,38.0
Dua Saleh,cat scratch,38.0
Jensen McRae,Wolves,38.0
blond,Les bonnes manières,38.0
Natural Child,Out in the Country,38.0
Jon Hopkins,Dawn Chorus,38.0
Sorry,Starstruck - Single Version,38.0
Soccer Mommy,bloodstream,38.0
Dead Pony,"23, Never Me",38.0
Lazerhawk,Electric Groove,38.0
Deep Sea Diver,Impossible Weight,38.0
dodie,I Kissed Someone (It Wasn't You),38.0
ONUKA,ZENIT,38.0
Little Dragon,The Other Lover (Little Dragon & Moses Sumney),38.0
The Strangeloves,I Want Candy,38.0
Asaf Avidan,Lost Horse,38.0
Lonely God,Sunday,38.0
chloe moriondo,Dreams,38.0
Temples,Shelter Song,38.0
Swirlies,Pancake,38.0
Two Door Cinema Club,Bad Decisions,38.0
Catherine Wheel,Black Metallic,38.0
Echo Collective,The See Within,38.0
Public Image Ltd.,Rise,38.0
French Cassettes,City Kitty,38.0
Lido Pimienta,Nada,38.0
"Black Country, New Road",Science Fair,38.0
Dance With the Dead,Invader,38.0
Chapterhouse,Mesmerise,38.0
Mustafa,Stay Alive,38.0
Lala Lala,Destroyer,38.0
Habiluim,שגר פגר,38.0
Ginger Root,B4,38.0
Lush,Nothing Natural,38.0
Adam Melchor,Moon in the Morning,38.0
BLOW,Full Delight,38.0
Viagra Boys,Creatures,38.0
The Fall,Totally Wired,38.0
Sharon Van Etten,Let Go,38.0
Slomosa,Kevin,38.0
Jessie Ware,Adore You,38.0
Perfume Genius,Jason,38.0
Tora-i,Call Your Name,38.0
The Damned,New Rose,38.0
This Mortal Coil,You And Your Sister (remastered),38.0
The Wombats,Moving to New York,38.0
Magazine,Shot By Both Sides - Remastered,38.0
Razorlight,America,38.0
Chet Faker,Whatever Tomorrow,37.0
The Midnight,Because The Night,37.0
Angelo De Augustine,Tomb,37.0
Orions Belte,Joe Frazier,37.0
Holy Fawn,Dark Stone,37.0
Katy Kirby,Cool Dry Place,37.0
Boris,Farewell,37.0
Mishegas,Tonight,37.0
Hawkwind,Silver Machine - Live at the Roundhouse London; 1996 Remaster,37.0
Inner Wave,Mushroom,37.0
KALI,Too Tired,37.0
Cage The Elephant,Broken Boy (feat. Iggy Pop),37.0
Dora Jar,Multiply,37.0
Elderbrook,My House,37.0
Parquet Courts,Berlin Got Blurry,37.0
The Adverts,Gary Gilmore's Eyes,37.0
Arca,Watch,37.0
Sleater-Kinney,One More Hour,37.0
M83,Kim & Jessie,37.0
Biffy Clyro,Bubbles,37.0
Foreign Air,Monsters,37.0
Uly,i don't need to understand,37.0
Menahan Street Band,The Starchaser,37.0
The Selecter,On my Radio,37.0
Sorcha Richardson,Ruin Your Night,37.0
The Flaming Lips,The Yeah Yeah Yeah Song,37.0
Ruby Waters,Blow,37.0
Asobi Seksu,Thursday,37.0
Molchat Doma,Небеса и Ад (Heaven and Hell),37.0
Bully,Where to Start,37.0
p4rkr,bad idea,37.0
Marilina Bertoldi,La Casa de A,37.0
Black Honey,All My Pride,37.0
The Vines,Ride,37.0
DIIV,Skin Game,37.0
The Brian Jonestown Massacre,Bout des doigts,37.0
Sun June,Everything I had,37.0
Ten Fé,Waterfalls,37.0
Julien Baker,Heatwave,37.0
Spoon,Rent I Pay,37.0
The Horrors,Press Enter To Exit,37.0
Michl,Better With You,37.0
Увула,Электрический ток,37.0
chloe moriondo,I Eat Boys,37.0
Paper Idol,James Bond,37.0
Yellow Days,The Curse (feat. Mac Demarco),37.0
Everyone You Know,Just for the Times,37.0
The Hives,Main Offender,37.0
Lava La Rue,Angel,37.0
Blonde Redhead,In Particular,37.0
Blonde Redhead,23,37.0
Count Five,Pretty Big Mouth,37.0
ORI,Doomed,37.0
Slush Puppy,Juliette,37.0
Angel Olsen,All Mirrors,37.0
James Blake,The First Time Ever I Saw Your Face,37.0
spill tab,PISTOLWHIP,36.0
The Sleepy Jackson,Good Dancers,36.0
Floating Points,Movement 6,36.0
Manic Street Preachers,A Design for Life - 2016 Remastered Version,36.0
Kate Tempest,The Beigeness,36.0
Chapterhouse,Pearl,36.0
Tame Impala,Alter Ego - 2020 Mix,36.0
The Faint,The Geeks Were Right,36.0
Josh Fudge,FEEL LIKE,36.0
Foals,Like Lightning,36.0
MC5,Kick Out The Jams (Original Uncensored Version),36.0
Jensen McRae,Immune,36.0
Phoebe Bridgers,Kyoto (Copycat Killer Version),36.0
POORSTACY,Nothing Left,36.0
The Knocks,R U HIGH (feat. Mallrat),36.0
WAAX,Labrador,36.0
EL VY,"Return to the Moon (Political Song for Didi Bloome to Sing, with Crescendo)",36.0
Pete Shelley,Homosapien,36.0
Liquid Liquid,Cavern,36.0
Eels,Susan's House,36.0
Local Natives,Lemon [Feat. Sharon Van Etten],36.0
BODEGA,How Did This Happen !?,36.0
Gus Dapperton,Medicine,36.0
Puma Blue,Bruise Cruise,36.0
Just Mustard,Deaf,36.0
FEVER 333,BITE BACK,36.0
Baby Charles,I Bet You Look Good On The Dancefloor,36.0
Melé,Groove La Afrika,36.0
Metric,Youth Without Youth,36.0
black midi,John L,36.0
Kavinsky,Testarossa (SebastiAn Remix),36.0
IDLES,Great,36.0
The Japanese House,Lilo,36.0
Jim-E Stack,Note To Self,36.0
KALI,Lucy,36.0
King Gizzard & The Lizard Wizard,Fishing For Fishies,36.0
Digitalism,Idealistic,36.0
Death From Above 1979,Romantic Rights,36.0
Bleached,Hard to Kill,36.0
Miynt,A bite of papaya,36.0
St. Vincent,Digital Witness,36.0
Blood Cultures,Glass,36.0
Centaur,The Same Place,36.0
Elkka,Burnt Orange - Edit,36.0
SebastiAn,Walkman,36.0
Clay and Friends,Bouge ton thang,36.0
Myd,We Found It,36.0
Arthur Brown,Fire,36.0
Bad Nerves,Dreaming,36.0
Dirty Pretty Things,Bang Bang You're Dead,36.0
Captain Beefheart & His Magic Band,Zig Zag Wanderer,36.0
Dry Cleaning,Strong Feelings,36.0
Molchat Doma,Не Смешно / Ne Smeshno,36.0
Throwing Muses,Not Too Soon,36.0
COUCOU CHLOE,NOBODY,36.0
Father John Misty,Anthem,36.0
Gaspard Augé,Force majeure,36.0
Eliza & The Delusionals,Just Exist,36.0
MICHELLE,SUNRISE (feat. Arlo Parks),36.0
The Detroit Cobras,Cha Cha Twist,36.0
King Princess,Only Time Makes It Human,36.0
Miloe,Winona,36.0
Doss,Strawberry,36.0
The Mothers Of Invention,Trouble Every Day,36.0
The Maccabees,Marks To Prove It,36.0
Makeup And Vanity Set,Implant,36.0
Viagra Boys,Girls & Boys,36.0
Refused,Born On The Outs,36.0
LAUREL,Best I Ever Had,35.0
bennytheghost,Papercut,35.0
James Blake,Before,35.0
Best Coast,Feeling Ok,35.0
Neon Nox,Fahrenheit,35.0
070 Shake,Rocketship,35.0
The Members,The Sound Of The Suburbs,35.0
Tune-Yards,Water Fountain,35.0
Soccer Mommy,Wide Open Spaces,35.0
Fleece,Do U Mind? (Leave the Light On),35.0
moanday,Blue Ceiling,35.0
Dick Dale and his Del-Tones,Misirlou,35.0
Kutiman,Sakla Beni,35.0
Remi Wolf,Guy - L’Impératrice Remix,35.0
Darwin Deez,Radar Detector,35.0
Maximo Park,Graffiti,35.0
Travis,Baby One More Time - In Session,35.0
Kero Kero Bonito,The Princess and the Clock,35.0
Orion,Time For Crime,35.0
Florence + The Machine,"Cornflake Girl - Recorded At RAK Studios, London",35.0
A Beacon School,Algernon,35.0
Forth Wanderers,Nevermine,35.0
Khazali,Comfort,35.0
Kelsey Lu,Poor Fake,35.0
Sufjan Stevens,Video Game,35.0
Ride,Seagull - 2001 Remaster,35.0
M.A.G.S.,Sunrise,35.0
Reymour,De ma Tour,35.0
Whitney,Used To Be Lonely,35.0
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),35.0
Jon Hopkins,Wintergreen,35.0
Yoste,Arc,35.0
Death From Above 1979,Trainwreck 1979,35.0
Pond,Waiting Around For Grace,35.0
Carlos Cipa,Playful (variation),35.0
Wolf Alice,The Last Man on Earth,35.0
Karen Nyame KG,Koko,35.0
luxury elite,Strut (猫 シ Corp. Remix),35.0
carpetgarden,Beautiful Mind,35.0
Desert Sessions,Something You Can't See,35.0
Dayglow,Woah Man,35.0
